Feature,Mean_Abs_SHAP
subject_portuguese,0.82781863
academic_risk_score,0.5830444
school_MS,0.47904122
goout,0.2669299
higher_yes,0.23709956
absences,0.23419312
failures,0.23394136
schoolsup_yes,0.18382612
age,0.17400658
health_x_absences,0.17290962
guardian_mother,0.1702911
studytime_x_failures,0.17004035
support_index,0.16745733
reason_reputation,0.16260731
study_efficiency,0.15397839
famrel,0.14985305
Mjob_services,0.14718382
parent_edu_avg,0.13730058
social_engagement,0.13434882
activities_yes,0.12526208
