Feature Condition,LIME Weight,Direction
subject_portuguese <= 0.00,-0.2484973000944474,Towards FAIL
schoolsup_yes <= 0.00,0.1135625006518436,Towards PASS
failures <= -0.41,0.09151785691426284,Towards PASS
school_MS <= 0.00,0.08973990900484645,Towards PASS
academic_risk_score <= -0.56,0.08155809604594644,Towards PASS
Mjob_services <= 0.00,-0.06336606528497854,Towards FAIL
reason_reputation <= 0.00,-0.05172224531286042,Towards FAIL
romantic_yes <= 0.00,0.045255343120316184,Towards PASS
studytime_x_failures <= -0.40,0.0432598608743157,Towards PASS
famrel <= 0.07,-0.04120681393651113,Towards FAIL
activities_yes <= 0.00,-0.02876377636346517,Towards FAIL
Mjob_teacher <= 0.00,0.027269529091949258,Towards PASS
